captured_week_end,market,market_name,rank,rank_change,artist_name,artist_spotify_id,image_url
2026-01-08,kr,South Korea,1,–,HANRORO,5wVJpXzuKV6Xj7Yhsf2uYx,https://i.scdn.co/image/ab676161000051742b1eca3debf68d26f7f25816
2026-01-08,kr,South Korea,2,–,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616100005174cf3a9c35db52ba44f3b921e3
2026-01-08,kr,South Korea,3,–,Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,https://i.scdn.co/image/ab67616100005174a39642d6f3ba26f42d54ac98
2026-01-08,kr,South Korea,4,–,ILLIT,36cgvBn0aadzOijnjjwqMN,https://i.scdn.co/image/ab676161000051747fabcc2491d95050faa5b710
2026-01-08,kr,South Korea,5,–,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616100005174841bdcf28a956f3a384ffcf4
2026-01-08,kr,South Korea,6,1,BTS,3Nrfpe0tUJi4K4DXYWgMUX,https://i.scdn.co/image/ab67616100005174f80ec63ea7a0ef0fba60957d
2026-01-08,kr,South Korea,7,1,Jin,5vV3bFXnN6D6N3Nj4xRvaV,https://i.scdn.co/image/ab6761610000517481e353e7475955f7e040af5e
2026-01-08,kr,South Korea,8,2,aespa,6YVMFz59CuY7ngCxTxjpxE,https://i.scdn.co/image/ab67616100005174053bbb910dda6d4ab0618b8b
2026-01-08,kr,South Korea,9,–,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616100005174d4037f03c5f92e7e6ea89b9e
2026-01-08,kr,South Korea,10,1,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,https://i.scdn.co/image/ab6761610000517441f3b91c5c5bf6651da98956
2026-01-08,kr,South Korea,11,4,The Black Skirts,6WeDO4GynFmK4OxwkBzMW8,https://i.scdn.co/image/ab676161000051748609536d21beed6769d09d7f
2026-01-08,kr,South Korea,12,2,DAY6,5TnQc2N1iKlFjYD7CPGvFc,https://i.scdn.co/image/ab676161000051746bf26f017d7397f06df7b254
2026-01-08,kr,South Korea,13,5,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab6761610000517471089d18c93e3a51e70ff0dc
2026-01-08,kr,South Korea,14,2,BOYNEXTDOOR,4hnHLgMSOiqERWBL4jINP1,https://i.scdn.co/image/ab67616100005174d9aa688429b2947aa7d3649c
2026-01-08,kr,South Korea,15,2,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab67616100005174af20f7db5288bce9beede034
2026-01-08,kr,South Korea,16,–,ALLDAY PROJECT,4gEMn0YPOdotLOygnk0Ng2,https://i.scdn.co/image/ab676161000051741c4e96c09862074fddbbbf1f
2026-01-08,kr,South Korea,17,1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab67616100005174e2e8e7ff002a4afda1c7147e
